Table_Number,Year,Measure,Age,Sex,Indigenous_Status,Remoteness,Description1,Description2,Description3,Description4,Description5,Description6,Description7,Description8,Uncertainty,Data_Source,Unit,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,Total,Aust
CtG14A.7,2018-2022,Mortality due to suicide,53,All people,Aboriginal and Torres Strait Islander people,Major cities,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,,Major cities,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,25.5
CtG14A.7,2018-2022,Mortality due to suicide,72,All people,Non-Indigenous people,Major cities,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,,Major cities,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,10.2
CtG14A.7,2018-2022,Mortality due to suicide,33,All people,Non-Indigenous people,Major cities,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,,Major cities,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,10.2
CtG14A.7,2018-2022,Mortality due to suicide,21,All people,Non-Indigenous people,Major cities,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,,Major cities,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,10.2
CtG14A.7,2018-2022,Mortality due to suicide,17,All people,Non-Indigenous people,Major cities,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,,Major cities,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,10.2
CtG14A.7,2018-2022,Mortality due to suicide,14,All people,Non-Indigenous people,Major cities,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,,Major cities,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,10.2
CtG14A.7,2018-2022,Mortality due to suicide,32,All people,Aboriginal and Torres Strait Islander people,Inner and outer regional,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,,Inner and outer regional,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,26.5
CtG14A.7,2018-2022,Mortality due to suicide,43,All people,Aboriginal and Torres Strait Islander people,Inner and outer regional,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,,Inner and outer regional,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,26.5
CtG14A.7,2018-2022,Mortality due to suicide,35,All people,Aboriginal and Torres Strait Islander people,Inner and outer regional,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,,Inner and outer regional,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,26.5
CtG14A.7,2018-2022,Mortality due to suicide,43,All people,Aboriginal and Torres Strait Islander people,Inner and outer regional,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,,Inner and outer regional,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,26.5
CtG14A.7,2018-2022,Mortality due to suicide,21,All people,Aboriginal and Torres Strait Islander people,Inner and outer regional,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,,Inner and outer regional,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,26.5
CtG14A.7,2018-2022,Mortality due to suicide,61,All people,Non-Indigenous people,Inner and outer regional,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,,Inner and outer regional,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,15.7
CtG14A.7,2018-2022,Mortality due to suicide,89,All people,Non-Indigenous people,Inner and outer regional,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,,Inner and outer regional,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,15.7
CtG14A.7,2018-2022,Mortality due to suicide,75,All people,Non-Indigenous people,Inner and outer regional,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,,Inner and outer regional,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,15.7
CtG14A.7,2018-2022,Mortality due to suicide,92,All people,Non-Indigenous people,Inner and outer regional,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,,Inner and outer regional,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,15.7
CtG14A.7,2018-2022,Mortality due to suicide,23,All people,Non-Indigenous people,Inner and outer regional,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,,Inner and outer regional,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,15.7
CtG14A.7,2018-2022,Mortality due to suicide,83,All people,Aboriginal and Torres Strait Islander people,Remote and very remote,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,,Remote and very remote,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,30.8
CtG14A.7,2018-2022,Mortality due to suicide,70,All people,Aboriginal and Torres Strait Islander people,Remote and very remote,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,,Remote and very remote,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,30.8
CtG14A.7,2018-2022,Mortality due to suicide,19,All people,Aboriginal and Torres Strait Islander people,Remote and very remote,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,,Remote and very remote,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,30.8
CtG14A.7,2018-2022,Mortality due to suicide,68,All people,Aboriginal and Torres Strait Islander people,Remote and very remote,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,,Remote and very remote,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,30.8
CtG14A.7,2018-2022,Mortality due to suicide,55,All people,Aboriginal and Torres Strait Islander people,Remote and very remote,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,,Remote and very remote,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,30.8
CtG14A.7,2018-2022,Mortality due to suicide,44,All people,Non-Indigenous people,Remote and very remote,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,,Remote and very remote,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,15.5
CtG14A.7,2018-2022,Mortality due to suicide,78,All people,Non-Indigenous people,Remote and very remote,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,,Remote and very remote,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,15.5
CtG14A.7,2018-2022,Mortality due to suicide,59,All people,Non-Indigenous people,Remote and very remote,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,,Remote and very remote,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,15.5
CtG14A.7,2018-2022,Mortality due to suicide,88,All people,Non-Indigenous people,Remote and very remote,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,,Remote and very remote,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,15.5
CtG14A.7,2018-2022,Mortality due to suicide,22,All people,Non-Indigenous people,Remote and very remote,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,,Remote and very remote,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,15.5
CtG14A.7,2017-2021,Mortality due to suicide,79,All people,Aboriginal and Torres Strait Islander people,Major cities,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,,Major cities,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,23.1
CtG14A.7,2017-2021,Mortality due to suicide,25,All people,Aboriginal and Torres Strait Islander people,Major cities,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,,Major cities,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,23.1
CtG14A.7,2017-2021,Mortality due to suicide,37,All people,Aboriginal and Torres Strait Islander people,Major cities,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,,Major cities,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,23.1
CtG14A.7,2017-2021,Mortality due to suicide,67,All people,Aboriginal and Torres Strait Islander people,Major cities,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,,Major cities,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,23.1
CtG14A.7,2017-2021,Mortality due to suicide,87,All people,Aboriginal and Torres Strait Islander people,Major cities,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,,Major cities,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,23.1
CtG14A.7,2017-2021,Mortality due to suicide,77,All people,Non-Indigenous people,Major cities,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,,Major cities,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,10.4
CtG14A.7,2017-2021,Mortality due to suicide,48,All people,Non-Indigenous people,Major cities,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,,Major cities,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,10.4
CtG14A.7,2017-2021,Mortality due to suicide,75,All people,Non-Indigenous people,Major cities,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,,Major cities,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,10.4
CtG14A.7,2017-2021,Mortality due to suicide,50,All people,Non-Indigenous people,Major cities,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,,Major cities,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,10.4
CtG14A.7,2017-2021,Mortality due to suicide,98,All people,Non-Indigenous people,Major cities,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,,Major cities,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,10.4
CtG14A.7,2017-2021,Mortality due to suicide,16,All people,Aboriginal and Torres Strait Islander people,Inner and outer regional,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,,Inner and outer regional,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,25.4
CtG14A.7,2017-2021,Mortality due to suicide,15,All people,Aboriginal and Torres Strait Islander people,Inner and outer regional,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,,Inner and outer regional,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,25.4
CtG14A.7,2017-2021,Mortality due to suicide,95,All people,Aboriginal and Torres Strait Islander people,Inner and outer regional,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,,Inner and outer regional,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,25.4
CtG14A.7,2017-2021,Mortality due to suicide,12,All people,Aboriginal and Torres Strait Islander people,Inner and outer regional,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,,Inner and outer regional,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,25.4
CtG14A.7,2017-2021,Mortality due to suicide,68,All people,Aboriginal and Torres Strait Islander people,Inner and outer regional,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,,Inner and outer regional,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,25.4
CtG14A.7,2017-2021,Mortality due to suicide,47,All people,Non-Indigenous people,Inner and outer regional,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,,Inner and outer regional,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,16
CtG14A.7,2017-2021,Mortality due to suicide,29,All people,Non-Indigenous people,Inner and outer regional,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,,Inner and outer regional,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,16
CtG14A.7,2017-2021,Mortality due to suicide,32,All people,Non-Indigenous people,Inner and outer regional,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,,Inner and outer regional,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,16
CtG14A.7,2017-2021,Mortality due to suicide,50,All people,Non-Indigenous people,Inner and outer regional,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,,Inner and outer regional,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,16
CtG14A.7,2017-2021,Mortality due to suicide,0,All people,Non-Indigenous people,Inner and outer regional,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,,Inner and outer regional,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,16
CtG14A.7,2017-2021,Mortality due to suicide,42,All people,Aboriginal and Torres Strait Islander people,Remote and very remote,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,,Remote and very remote,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,29.9
CtG14A.7,2017-2021,Mortality due to suicide,84,All people,Aboriginal and Torres Strait Islander people,Remote and very remote,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,,Remote and very remote,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,29.9
CtG14A.7,2017-2021,Mortality due to suicide,17,All people,Aboriginal and Torres Strait Islander people,Remote and very remote,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,,Remote and very remote,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,29.9
CtG14A.7,2017-2021,Mortality due to suicide,0,All people,Aboriginal and Torres Strait Islander people,Remote and very remote,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,,Remote and very remote,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,29.9
CtG14A.7,2017-2021,Mortality due to suicide,9,All people,Aboriginal and Torres Strait Islander people,Remote and very remote,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,,Remote and very remote,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,29.9
CtG14A.7,2017-2021,Mortality due to suicide,25,All people,Non-Indigenous people,Remote and very remote,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,,Remote and very remote,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,15.6
CtG14A.7,2017-2021,Mortality due to suicide,2,All people,Non-Indigenous people,Remote and very remote,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,,Remote and very remote,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,15.6
CtG14A.7,2017-2021,Mortality due to suicide,100,All people,Non-Indigenous people,Remote and very remote,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,,Remote and very remote,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,15.6
CtG14A.7,2017-2021,Mortality due to suicide,87,All people,Non-Indigenous people,Remote and very remote,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,,Remote and very remote,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,15.6
CtG14A.7,2017-2021,Mortality due to suicide,71,All people,Non-Indigenous people,Remote and very remote,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,,Remote and very remote,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,15.6
CtG14A.7,2016-2020,Mortality due to suicide,29,All people,Aboriginal and Torres Strait Islander people,Major cities,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,,Major cities,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,22.3
CtG14A.7,2016-2020,Mortality due to suicide,74,All people,Aboriginal and Torres Strait Islander people,Major cities,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,,Major cities,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,22.3
CtG14A.7,2016-2020,Mortality due to suicide,21,All people,Aboriginal and Torres Strait Islander people,Major cities,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,,Major cities,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,22.3
CtG14A.7,2016-2020,Mortality due to suicide,21,All people,Aboriginal and Torres Strait Islander people,Major cities,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,,Major cities,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,22.3
CtG14A.7,2016-2020,Mortality due to suicide,84,All people,Aboriginal and Torres Strait Islander people,Major cities,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,,Major cities,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,22.3
CtG14A.7,2016-2020,Mortality due to suicide,60,All people,Non-Indigenous people,Major cities,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,,Major cities,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,10.4
CtG14A.7,2016-2020,Mortality due to suicide,85,All people,Non-Indigenous people,Major cities,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,,Major cities,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,10.4
CtG14A.7,2016-2020,Mortality due to suicide,3,All people,Non-Indigenous people,Major cities,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,,Major cities,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,10.4
CtG14A.7,2016-2020,Mortality due to suicide,6,All people,Non-Indigenous people,Major cities,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,,Major cities,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,10.4
CtG14A.7,2016-2020,Mortality due to suicide,46,All people,Non-Indigenous people,Major cities,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,,Major cities,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,10.4
CtG14A.7,2016-2020,Mortality due to suicide,86,All people,Aboriginal and Torres Strait Islander people,Inner and outer regional,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,,Inner and outer regional,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,24
CtG14A.7,2016-2020,Mortality due to suicide,95,All people,Aboriginal and Torres Strait Islander people,Inner and outer regional,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,,Inner and outer regional,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,24
CtG14A.7,2016-2020,Mortality due to suicide,2,All people,Aboriginal and Torres Strait Islander people,Inner and outer regional,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,,Inner and outer regional,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,24
CtG14A.7,2016-2020,Mortality due to suicide,92,All people,Aboriginal and Torres Strait Islander people,Inner and outer regional,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,,Inner and outer regional,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,24
CtG14A.7,2016-2020,Mortality due to suicide,86,All people,Aboriginal and Torres Strait Islander people,Inner and outer regional,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,,Inner and outer regional,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,24
CtG14A.7,2016-2020,Mortality due to suicide,94,All people,Non-Indigenous people,Inner and outer regional,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,,Inner and outer regional,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,16
CtG14A.7,2016-2020,Mortality due to suicide,77,All people,Non-Indigenous people,Inner and outer regional,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,,Inner and outer regional,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,16
CtG14A.7,2016-2020,Mortality due to suicide,92,All people,Non-Indigenous people,Inner and outer regional,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,,Inner and outer regional,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,16
CtG14A.7,2016-2020,Mortality due to suicide,22,All people,Non-Indigenous people,Inner and outer regional,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,,Inner and outer regional,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,16
CtG14A.7,2016-2020,Mortality due to suicide,3,All people,Non-Indigenous people,Inner and outer regional,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,,Inner and outer regional,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,16
CtG14A.7,2016-2020,Mortality due to suicide,6,All people,Aboriginal and Torres Strait Islander people,Remote and very remote,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,,Remote and very remote,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,29.5
CtG14A.7,2016-2020,Mortality due to suicide,78,All people,Aboriginal and Torres Strait Islander people,Remote and very remote,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,,Remote and very remote,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,29.5
CtG14A.7,2016-2020,Mortality due to suicide,73,All people,Aboriginal and Torres Strait Islander people,Remote and very remote,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,,Remote and very remote,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,29.5
CtG14A.7,2016-2020,Mortality due to suicide,74,All people,Aboriginal and Torres Strait Islander people,Remote and very remote,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,,Remote and very remote,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,29.5
CtG14A.7,2016-2020,Mortality due to suicide,74,All people,Aboriginal and Torres Strait Islander people,Remote and very remote,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,,Remote and very remote,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,29.5
CtG14A.7,2016-2020,Mortality due to suicide,3,All people,Non-Indigenous people,Remote and very remote,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,,Remote and very remote,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,15.1
CtG14A.7,2016-2020,Mortality due to suicide,90,All people,Non-Indigenous people,Remote and very remote,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,,Remote and very remote,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,15.1
CtG14A.7,2016-2020,Mortality due to suicide,69,All people,Non-Indigenous people,Remote and very remote,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,,Remote and very remote,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,15.1
CtG14A.7,2016-2020,Mortality due to suicide,49,All people,Non-Indigenous people,Remote and very remote,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,,Remote and very remote,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,15.1
CtG14A.7,2016-2020,Mortality due to suicide,14,All people,Non-Indigenous people,Remote and very remote,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,,Remote and very remote,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,15.1
CtG14A.7,2015-2019,Mortality due to suicide,26,All people,Aboriginal and Torres Strait Islander people,Major cities,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,,Major cities,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,21.4
CtG14A.7,2015-2019,Mortality due to suicide,61,All people,Aboriginal and Torres Strait Islander people,Major cities,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,,Major cities,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,21.4
CtG14A.7,2015-2019,Mortality due to suicide,99,All people,Aboriginal and Torres Strait Islander people,Major cities,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,,Major cities,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,21.4
CtG14A.7,2015-2019,Mortality due to suicide,46,All people,Aboriginal and Torres Strait Islander people,Major cities,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,,Major cities,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,21.4
CtG14A.7,2015-2019,Mortality due to suicide,47,All people,Aboriginal and Torres Strait Islander people,Major cities,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,,Major cities,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,21.4
CtG14A.7,2015-2019,Mortality due to suicide,63,All people,Non-Indigenous people,Major cities,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,,Major cities,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,10.7
CtG14A.7,2015-2019,Mortality due to suicide,53,All people,Non-Indigenous people,Major cities,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,,Major cities,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,10.7
CtG14A.7,2015-2019,Mortality due to suicide,99,All people,Non-Indigenous people,Major cities,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,,Major cities,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,10.7
CtG14A.7,2015-2019,Mortality due to suicide,30,All people,Non-Indigenous people,Major cities,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,,Major cities,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,10.7
CtG14A.7,2015-2019,Mortality due to suicide,70,All people,Non-Indigenous people,Major cities,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,,Major cities,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,10.7
CtG14A.7,2015-2019,Mortality due to suicide,77,All people,Aboriginal and Torres Strait Islander people,Inner and outer regional,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,,Inner and outer regional,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,23.1
CtG14A.7,2015-2019,Mortality due to suicide,3,All people,Aboriginal and Torres Strait Islander people,Inner and outer regional,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,,Inner and outer regional,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,23.1
CtG14A.7,2015-2019,Mortality due to suicide,93,All people,Aboriginal and Torres Strait Islander people,Inner and outer regional,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,,Inner and outer regional,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,23.1
